"","rowname","PlateID","WellName","Field","Timepoint","timepoint","X","Y","FRET1","CFP.Mean","YFP.Mean","Cell.Roundness","Cell.Area.µm","dist","dfret","df.fret","Well2","Treatment","time"
"85","24",16765,"B10",1,1,"3",842,513,0.888957,483.158,429.506,0.934233,49.2313,5.09901951359278,0.0621699999999999,7.51946994812448,"10","FSK",6
"86","24",16765,"B10",1,1,"4",837,508,0.899818,940.791,846.541,0.985124,55.1804,7.07106781186548,0.073031,8.83310937399838,"10","FSK",10
"87","25",16765,"B10",1,1,"1",192,572,0.786168,466.866,367.035,0.905766,100.101,0,0,0,"10","FSK",0
"88","25",16765,"B10",1,1,"2",188,569,0.764036,493.405,376.979,0.956132,100.877,5,-0.0221319999999999,-2.81517436476681,"10","FSK",2
"89","26",16765,"B10",1,1,"1",99,689,0.796167,627.121,499.293,0.999429,48.6277,0,0,0,"10","FSK",0
"90","26",16765,"B10",1,1,"2",94,684,0.797123,724.792,577.748,0.996542,49.6624,7.07106781186548,0.000956000000000068,0.120075310833037,"10","FSK",2
"91","27",16765,"B10",1,1,"1",357,700,0.805945,601.038,484.403,0.984448,61.9917,0,0,0,"10","FSK",0
"92","27",16765,"B10",1,1,"2",355,694,0.793556,633.632,502.822,0.969018,67.4236,6.32455532033676,-0.012389,-1.53720167008915,"10","FSK",2
"93","28",16765,"B10",1,1,"1",239,710,0.764947,973.802,744.906,0.958658,55.2666,0,0,0,"10","FSK",0
"94","28",16765,"B10",1,1,"2",234,705,0.764541,1039.47,794.715,0.95729,57.767,7.07106781186548,-0.000406000000000017,-0.0530755725560094,"10","FSK",2
"95","28",16765,"B10",1,1,"3",232,698,0.861948,570.745,491.952,0.937036,50.697,7.28010988928052,0.097001,12.6807478165154,"10","FSK",6
"96","28",16765,"B10",1,1,"4",229,695,0.871653,934.235,814.329,0.977892,57.1635,4.24264068711928,0.106706,13.9494631654219,"10","FSK",10
"97","29",16765,"B10",1,1,"1",186,725,0.799845,1051.06,840.682,0.914433,119.414,0,0,0,"10","FSK",0
"98","29",16765,"B10",1,1,"2",181,719,0.796985,1079.67,860.483,0.947786,117.431,7.81024967590665,-0.00285999999999997,-0.357569279047812,"10","FSK",2
"99","29",16765,"B10",1,1,"3",179,713,0.816219,886.313,723.425,0.954694,104.153,6.32455532033676,0.016374,2.04714663466047,"10","FSK",6
"100","29",16765,"B10",1,1,"4",176,709,0.794019,1108.17,879.909,0.95095,116.224,5,-0.005826,-0.72839112578062,"10","FSK",10
"101","30",16765,"B10",1,1,"1",325,993,0.822128,978.649,804.575,0.956088,80.8738,0,0,0,"10","FSK",0
"102","30",16765,"B10",1,1,"2",319,988,0.819803,1010.3,828.246,0.958464,81.2187,7.81024967590665,-0.00232500000000002,-0.2828026779285,"10","FSK",2
"103","30",16765,"B10",1,1,"3",320,981,0.827243,826.188,683.459,0.975668,74.2349,7.07106781186548,0.00511499999999998,0.622165891442693,"10","FSK",6
"104","30",16765,"B10",1,1,"4",316,978,0.820371,1033.43,847.798,0.968501,79.4943,5,-0.00175700000000001,-0.213713679621666,"10","FSK",10
"105","31",16765,"B10",1,1,"1",328,1026,0.825497,860.801,710.589,0.973994,80.2702,0,0,0,"10","FSK",0
"106","31",16765,"B10",1,1,"2",322,1021,0.829519,836.523,693.912,0.995125,80.0116,7.81024967590665,0.00402199999999997,0.487221637389351,"10","FSK",2
"107","31",16765,"B10",1,1,"3",322,1016,0.8135,947.303,770.632,0.984223,75.3557,5,-0.011997,-1.45330631122827,"10","FSK",6
"108","31",16765,"B10",1,1,"4",318,1011,0.825139,910.129,750.984,0.985124,78.6321,6.40312423743285,-0.00035800000000008,-0.0433678135717126,"10","FSK",10
"109","32",16765,"B10",3,1,"1",675,9,0.577752,723.553,418.035,0.821073,32.4185,0,0,0,"10","FSK",0
"110","33",16765,"B10",3,1,"1",355,149,0.776099,1541.33,1196.23,0.996405,63.285,0,0,0,"10","FSK",0
